Index,Year,"Rank Order","Country code",Country or Area,City code,Urban Agglomeration,Note,Latitude,Longitude,Population (millions)
247,1990,7,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,11.1 475 66 0
248,1990,8,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,10.9 741 77 0
249,1990,9,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,10.8 834 29 0
250,1990,10,410,Republic of Korea,21758,Seoul,14,37.5683,126.9778,10.5 175 65 0
251,1990,11,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,9.8 921 43 0
252,1990,12,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,9.6 974 87 0
253,1990,13,356,India,21228,Delhi,16,28.6667,77.2167,9.3 842 09 0
254,1990,14,250,France,20985,Paris,,48.8534,2.3488,9.3 303 27 0
255,1990,15,643,Russian Federation,22299,Moskva (Moscow),,55.7550,37.6218,8.9 866 31 0
256,1990,16,156,China,20656,Shanghai,5,31.2222,121.4581,8.6 058 12 0
257,1990,17,392,Japan,204583,Chukyo M.M.A. (Nagoya),,35.1815,136.9064,8.4 072 04 0
258,1990,18,360,Indonesia,21454,Jakarta,13,-6.2118,106.8416,8.1 747 56 0
259,1990,19,608,Philippines,22109,Manila,15,14.6042,120.9822,7.9 727 99 0
260,1990,20,840,United States of America,22956,Chicago,,41.8500,-87.6501,7.3 736 95 0
261,1990,21,586,Pakistan,22044,Karachi,,24.9056,67.0822,7.1 470 64 0
262,1990,22,826,United Kingdom,22860,London,2,51.5085,-0.1257,6.7 944  0
263,1990,23,156,China,20464,Beijing,11,39.9075,116.3972,6.7 877 37 0
264,1990,24,50,Bangladesh,20119,Dhaka,18,23.7104,90.4074,6.6 206 97 0
265,1990,25,792,Turkey,22691,Istanbul,,41.0138,28.9497,6.5 521 6 0
266,1990,26,364,Iran (Islamic Republic of),21523,Tehran,,35.6944,51.4215,6.3 648 27 0
267,1990,27,764,Thailand,22617,Krung Thep (Bangkok),,13.7220,100.5252,5.8 888 35 0
268,1990,28,604,Peru,22078,Lima,17,-12.0432,-77.0282,5.8 365 37 0
269,1990,29,344,"China, Hong Kong SAR",21137,Hong Kong,12,22.2796,114.1887,5.7 535 23 0
270,1990,30,356,India,21321,Chennai (Madras),,13.0531,80.2488,5.3 320 57 0
271,1995,1,392,Japan,21671,Tokyo,1,35.6895,139.6917,33.5 865 73 0
272,1995,2,392,Japan,206459,Kinki M.M.A. (Osaka),3,34.6758,135.5538,18.9 395 88 0
273,1995,3,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,17.0 174 69 0
274,1995,4,840,United States of America,23083,New York-Newark,,40.7170,-74.0037,16.9 427 7 0
275,1995,5,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,15.9 134 73 0
276,1995,6,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,14.1 353 63 0
277,1995,7,356,India,21228,Delhi,16,28.6667,77.2167,12.1 382 33 0
278,1995,8,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,11.9 921 94 0
279,1995,9,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,11.9 619 86 0
280,1995,10,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,11.8 064 07 0
281,1995,11,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,11.3 388 9 0
282,1995,12,156,China,20656,Shanghai,5,31.2222,121.4581,11.0 720 63 0
283,1995,13,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,10.4 315 18 0
284,1995,14,410,Republic of Korea,21758,Seoul,14,37.5683,126.9778,10.2 558 89 0
285,1995,15,250,France,20985,Paris,,48.8534,2.3488,9.5 101 03 0
